PuntoConteo,Dia,Liviano,Autobuses,C23E,C4E,C5E
500,03/07/2017,33885,280,364,808,1010
500,03/07/2018,31230,338,441,772,1186
500,03/07/2019,34986,312,393,868,1229
500,03/08/2015,32895,275,390,882,837
500,03/08/2016,33227,277,378,842,941
500,03/08/2017,33245,299,366,730,1057
500,03/08/2018,28866,292,393,770,1030
500,03/08/2019,26121,180,420,790,819
500,03/09/2015,34062,274,444,995,978
500,03/09/2016,33072,266,407,857,1029
500,03/09/2017,26908,141,245,595,639
500,03/09/2018,30507,280,358,788,972
500,03/09/2019,34781,380,477,930,1220
500,03/10/2015,34553,285,392,919,953
500,03/10/2016,31936,295,334,844,956
500,03/10/2017,33965,372,396,756,1162
500,03/10/2018,26238,242,230,441,708
500,03/10/2019,26261,242,230,441,708
500,03/11/2015,34452,311,432,1013,1069
500,03/11/2016,36899,365,438,910,1143
500,03/11/2017,36838,387,458,826,1129
500,03/11/2018,7358,31533,282,354,822
500,03/11/2019,36951,387,458,826,1129
500,03/12/2015,37740,354,425,986,1080
500,03/12/2016,37087,308,459,881,1080
500,03/12/2017,32680,225,302,603,694
500,03/12/2018,31706,321,466,716,959
500,03/12/2019,32781,225,302,603,694
500,04/01/2015,21993,148,300,667,508
500,04/01/2016,27799,227,336,947,964
500,04/01/2017,29971,286,314,830,1095
500,04/01/2018,31484,308,344,858,1065
500,04/01/2019,26851,261,281,756,1021
500,04/02/2015,37836,344,421,1118,943
500,04/02/2016,36205,344,500,953,1020
500,04/02/2017,33992,295,414,821,1099
500,04/02/2018,30082,144,247,553,576
500,04/02/2019,31781,312,350,834,1073
500,04/03/2015,37554,298,459,1015,971
500,04/03/2016,38792,392,473,986,1027
500,04/03/2017,33875,277,411,822,1092
500,04/03/2018,32404,215,336,587,724
500,04/03/2019,33776,364,405,845,1063
500,04/04/2015,18186,130,285,554,471
500,04/04/2016,33039,252,360,839,927
500,04/04/2017,36027,360,452,830,1161
500,04/04/2018,31919,367,476,774,1113
500,04/04/2019,37704,388,424,882,1193
500,04/05/2015,33837,281,376,933,875
500,04/05/2016,35053,357,443,873,1057
500,04/05/2017,36387,365,427,917,1101
500,04/05/2018,32944,441,570,740,1139
500,04/05/2019,32547,251,352,874,1056
500,04/06/2015,37907,319,377,1062,874
500,04/06/2016,34596,272,429,853,963
500,04/06/2017,25289,122,242,601,599
500,04/06/2018,28772,340,414,686,1016
500,04/06/2019,33423,350,438,879,1179
500,04/07/2015,34548,291,476,994,887
500,04/07/2016,33538,256,378,839,973
500,04/07/2017,33493,323,451,835,1085
500,04/07/2018,30918,367,494,758,1189
500,04/07/2019,36064,325,408,908,1241
500,04/08/2015,35269,349,502,952,993
500,04/08/2016,37805,326,417,958,1095
500,04/08/2017,36926,392,398,799,1197
500,04/08/2018,30290,278,396,885,1017
500,04/08/2019,23665,132,324,636,593
500,04/09/2015,37297,338,419,1049,1007
500,04/09/2016,26854,140,233,554,630
500,04/09/2017,32129,287,310,737,1017
500,04/09/2018,31116,369,449,810,1120
500,04/09/2019,30747,276,381,676,954
500,04/10/2015,28613,147,290,620,550
500,04/10/2016,32792,322,392,852,1088
500,04/10/2017,33271,314,449,838,1149
500,04/10/2018,24760,249,292,471,706
500,04/10/2019,24779,249,292,471,706
500,04/11/2015,35766,340,403,994,1071
500,04/11/2016,37931,405,473,937,1168
500,04/11/2017,34228,340,404,837,1092
500,04/11/2018,8152,24238,129,219,574
500,04/11/2019,34331,340,404,837,1092
500,04/12/2015,38310,361,504,965,1060
500,04/12/2016,30170,148,206,589,656
500,04/12/2017,35861,417,442,785,990
500,04/12/2018,31560,384,446,776,1146
500,04/12/2019,35964,417,442,785,990
500,05/01/2015,29050,220,335,948,788
500,05/01/2016,31560,292,439,990,1116
500,05/01/2017,31453,298,374,865,1044
500,05/01/2018,31953,337,401,728,1054
500,05/01/2019,23802,183,277,718,873
500,05/02/2015,38642,315,433,1084,954
500,05/02/2016,36940,357,491,908,1103
500,05/02/2017,26083,172,308,575,697
500,05/02/2018,32246,292,316,745,1025
500,05/02/2019,35274,329,421,874,1242
500,05/03/2015,37949,321,400,1047,953
500,05/03/2016,37881,282,441,949,1052
500,05/03/2017,24767,131,250,593,673
500,05/03/2018,34778,331,392,823,1044
500,05/03/2019,35144,372,426,938,1139
500,05/04/2015,20813,153,309,651,607
500,05/04/2016,36337,327,415,997,1079
500,05/04/2017,36713,342,410,930,1162
500,05/04/2018,32453,458,506,781,1142
500,05/04/2019,37389,402,507,823,1194
500,05/05/2015,37712,337,436,1089,917
500,05/05/2016,37530,345,440,967,1084
500,05/05/2017,38233,423,414,944,1178
500,05/05/2018,33555,293,401,838,1060
500,05/05/2019,24204,163,255,597,659
500,05/06/2015,39276,372,398,1006,967
500,05/06/2016,26072,157,213,636,591
500,05/06/2017,32520,272,320,792,975
500,05/06/2018,30263,394,488,784,1142
500,05/06/2019,35390,377,463,862,1234
500,05/07/2015,28932,154,291,702,495
500,05/07/2016,35366,322,462,919,1129
500,05/07/2017,33984,324,444,837,1074
500,05/07/2018,31448,378,480,774,1163
